,index,Year,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group,Activity,Sex,Rank
630,630,2003,Annual,8.65,0.022,All days,15 years and over,Sleeping,Women,28.0
631,631,2004,Annual,8.61,0.028,All days,15 years and over,Sleeping,Women,34.0
632,632,2005,Annual,8.71,0.029,All days,15 years and over,Sleeping,Women,25.0
633,633,2006,Annual,8.69,0.035,All days,15 years and over,Sleeping,Women,26.0
634,634,2007,Annual,8.63,0.03,All days,15 years and over,Sleeping,Women,31.0
635,635,2008,Annual,8.64,0.034,All days,15 years and over,Sleeping,Women,30.0
636,636,2009,Annual,8.73,0.03,All days,15 years and over,Sleeping,Women,24.0
637,637,2010,Annual,8.76,0.033,All days,15 years and over,Sleeping,Women,23.0
638,638,2011,Annual,8.8,0.035,All days,15 years and over,Sleeping,Women,22.0
639,639,2012,Annual,8.86,0.033,All days,15 years and over,Sleeping,Women,20.0
640,640,2013,Annual,8.82,0.034,All days,15 years and over,Sleeping,Women,21.0
641,641,2014,Annual,8.9,0.034,All days,15 years and over,Sleeping,Women,16.0
642,642,2015,Annual,8.9,0.033,All days,15 years and over,Sleeping,Women,16.0
643,643,2016,Annual,8.88,0.037,All days,15 years and over,Sleeping,Women,19.0
644,644,2017,Annual,8.9,0.037,All days,15 years and over,Sleeping,Women,16.0
645,645,2003,Annual,9.34,0.029,Weekend days and holidays,15 years and over,Sleeping,Women,11.0
646,646,2004,Annual,9.27,0.037,Weekend days and holidays,15 years and over,Sleeping,Women,14.0
647,647,2005,Annual,9.34,0.042,Weekend days and holidays,15 years and over,Sleeping,Women,11.0
648,648,2006,Annual,9.36,0.047,Weekend days and holidays,15 years and over,Sleeping,Women,9.0
649,649,2007,Annual,9.24,0.043,Weekend days and holidays,15 years and over,Sleeping,Women,15.0
650,650,2008,Annual,9.36,0.047,Weekend days and holidays,15 years and over,Sleeping,Women,9.0
651,651,2009,Annual,9.34,0.045,Weekend days and holidays,15 years and over,Sleeping,Women,11.0
652,652,2010,Annual,9.4,0.046,Weekend days and holidays,15 years and over,Sleeping,Women,6.0
653,653,2011,Annual,9.39,0.054,Weekend days and holidays,15 years and over,Sleeping,Women,7.0
654,654,2012,Annual,9.46,0.048,Weekend days and holidays,15 years and over,Sleeping,Women,4.0
655,655,2013,Annual,9.38,0.052,Weekend days and holidays,15 years and over,Sleeping,Women,8.0
656,656,2014,Annual,9.52,0.049,Weekend days and holidays,15 years and over,Sleeping,Women,1.0
657,657,2015,Annual,9.46,0.047,Weekend days and holidays,15 years and over,Sleeping,Women,4.0
658,658,2016,Annual,9.49,0.051,Weekend days and holidays,15 years and over,Sleeping,Women,2.0
659,659,2017,Annual,9.49,0.05,Weekend days and holidays,15 years and over,Sleeping,Women,2.0
660,660,2003,Annual,8.36,0.028,Nonholiday weekdays,15 years and over,Sleeping,Women,42.0
661,661,2004,Annual,8.33,0.038,Nonholiday weekdays,15 years and over,Sleeping,Women,44.0
662,662,2005,Annual,8.45,0.038,Nonholiday weekdays,15 years and over,Sleeping,Women,40.0
663,663,2006,Annual,8.4,0.045,Nonholiday weekdays,15 years and over,Sleeping,Women,41.0
664,664,2007,Annual,8.36,0.041,Nonholiday weekdays,15 years and over,Sleeping,Women,42.0
665,665,2008,Annual,8.33,0.044,Nonholiday weekdays,15 years and over,Sleeping,Women,44.0
666,666,2009,Annual,8.47,0.039,Nonholiday weekdays,15 years and over,Sleeping,Women,39.0
667,667,2010,Annual,8.49,0.042,Nonholiday weekdays,15 years and over,Sleeping,Women,38.0
668,668,2011,Annual,8.56,0.045,Nonholiday weekdays,15 years and over,Sleeping,Women,37.0
669,669,2012,Annual,8.6,0.043,Nonholiday weekdays,15 years and over,Sleeping,Women,35.0
670,670,2013,Annual,8.57,0.047,Nonholiday weekdays,15 years and over,Sleeping,Women,36.0
671,671,2014,Annual,8.63,0.042,Nonholiday weekdays,15 years and over,Sleeping,Women,31.0
672,672,2015,Annual,8.66,0.045,Nonholiday weekdays,15 years and over,Sleeping,Women,27.0
673,673,2016,Annual,8.62,0.047,Nonholiday weekdays,15 years and over,Sleeping,Women,33.0
674,674,2017,Annual,8.65,0.047,Nonholiday weekdays,15 years and over,Sleeping,Women,28.0
675,675,2003,Annual,9.16,0.075,All days,15 to 24 years,Sleeping,Women,33.0
676,676,2004,Annual,9.34,0.105,All days,15 to 24 years,Sleeping,Women,24.0
677,677,2005,Annual,9.35,0.094,All days,15 to 24 years,Sleeping,Women,23.0
678,678,2006,Annual,9.17,0.097,All days,15 to 24 years,Sleeping,Women,32.0
679,679,2007,Annual,9.2,0.107,All days,15 to 24 years,Sleeping,Women,31.0
680,680,2008,Annual,9.13,0.119,All days,15 to 24 years,Sleeping,Women,35.0
